"crime","date","neighborhood"
"LARCENY-NON VEHICLE","01/10/2013","Perkerson"
"BURGLARY-RESIDENCE","12/28/2010","Glenrose Heights"
"AGG ASSAULT","12/23/2011","Adamsville"
"LARCENY-NON VEHICLE","07/24/2013","Carver Hills"
"AGG ASSAULT","04/03/2011","South Tuxedo Park"
"LARCENY-FROM VEHICLE","01/29/2016","Pittsburgh"
"LARCENY-NON VEHICLE","01/06/2010","Downtown"
"ROBBERY-PEDESTRIAN","09/19/2009","Harland Terrace"
"BURGLARY-RESIDENCE","12/17/2009","Dixie Hills"
"LARCENY-NON VEHICLE","07/26/2012","Downtown"
"BURGLARY-RESIDENCE","12/14/2013","Hammond Park"
"LARCENY-NON VEHICLE","07/02/2016","Downtown"
"AGG ASSAULT","03/25/2015","English Avenue"
"LARCENY-FROM VEHICLE","02/02/2017","English Avenue"
"AGG ASSAULT","01/14/2015","Downtown"
"BURGLARY-RESIDENCE","07/29/2011","Blandtown"
"ROBBERY-PEDESTRIAN","08/19/2009",""
"LARCENY-NON VEHICLE","02/24/2011","Kirkwood"
"LARCENY-NON VEHICLE","08/16/2015","Lenox"
"BURGLARY-RESIDENCE","04/17/2010","Home Park"
"LARCENY-FROM VEHICLE","09/05/2016","Mechanicsville"
"LARCENY-NON VEHICLE","12/08/2016","Brookwood Hills"
"AGG ASSAULT","01/06/2011","Old Fourth Ward"
"LARCENY-FROM VEHICLE","08/19/2009",""
"BURGLARY-NONRES","07/13/2014","Kirkwood"
"BURGLARY-RESIDENCE","12/08/2010","Adair Park"
"BURGLARY-RESIDENCE","07/15/2010","Ashley Courts"
"BURGLARY-NONRES","05/11/2014","Harland Terrace"
"BURGLARY-RESIDENCE","04/17/2012","West End"
"AUTO THEFT","06/22/2013","Rockdale"
"LARCENY-FROM VEHICLE","12/23/2009","Inman Park"
"LARCENY-FROM VEHICLE","10/08/2014","Greenbriar"
"LARCENY-FROM VEHICLE","06/14/2013","Downtown"
"ROBBERY-PEDESTRIAN","03/08/2010","Midtown"
"LARCENY-NON VEHICLE","11/01/2009","Berkeley Park"
"ROBBERY-PEDESTRIAN","11/08/2014","Oakland"
"LARCENY-FROM VEHICLE","11/23/2009","Home Park"
"LARCENY-FROM VEHICLE","06/30/2015","Candler Park"
"LARCENY-FROM VEHICLE","05/22/2013","Mechanicsville"
"LARCENY-NON VEHICLE","11/05/2016","Buckhead Forest"
"LARCENY-FROM VEHICLE","11/10/2010","Ashview Heights"
"AGG ASSAULT","09/14/2016","Peoplestown"
"LARCENY-FROM VEHICLE","02/07/2016","Lindbergh/Morosgo"
"ROBBERY-PEDESTRIAN","10/22/2016","Peachtree Heights West"
"BURGLARY-NONRES","09/16/2015","Lindbergh/Morosgo"
"LARCENY-NON VEHICLE","05/16/2015","Berkeley Park"
"ROBBERY-PEDESTRIAN","09/19/2015","Norwood Manor"
"LARCENY-FROM VEHICLE","09/12/2014","Pittsburgh"
"LARCENY-FROM VEHICLE","09/12/2012","North Buckhead"
"AUTO THEFT","04/30/2010",""
"LARCENY-FROM VEHICLE","05/05/2015","Custer/McDonough/Guice"
"ROBBERY-PEDESTRIAN","03/26/2014","Reynoldstown"
"LARCENY-NON VEHICLE","02/16/2013","Midtown"
"AGG ASSAULT","08/21/2011","Lindridge/Martin Manor"
"BURGLARY-RESIDENCE","12/30/2014","Joyland"
"AUTO THEFT","10/19/2011","Cross Creek"
"BURGLARY-RESIDENCE","04/22/2011","Collier Heights"
"AGG ASSAULT","04/29/2014","Fairburn Mays"
"BURGLARY-RESIDENCE","11/01/2012","Downtown"
"LARCENY-FROM VEHICLE","01/27/2016","Center Hill"
"AUTO THEFT","04/25/2015","South River Gardens"
"LARCENY-FROM VEHICLE","05/24/2011","Chosewood Park"
"LARCENY-NON VEHICLE","10/22/2014","North Buckhead"
"LARCENY-FROM VEHICLE","07/28/2014","Midtown"
"LARCENY-FROM VEHICLE","08/26/2016","Reynoldstown"
"LARCENY-NON VEHICLE","01/21/2011","South River Gardens"
"LARCENY-NON VEHICLE","11/06/2015","Berkeley Park"
"LARCENY-NON VEHICLE","01/06/2016",""
"LARCENY-NON VEHICLE","06/18/2013","Penelope Neighbors"
"LARCENY-FROM VEHICLE","10/25/2016",""
"LARCENY-FROM VEHICLE","10/05/2015","Venetian Hills"
"LARCENY-NON VEHICLE","11/23/2010","Old Fourth Ward"
"AUTO THEFT","08/25/2012","Collier Heights"
"AGG ASSAULT","12/02/2012","Mechanicsville"
"LARCENY-NON VEHICLE","02/14/2014","North Buckhead"
